GO Term,LL, shape, scale, misid, Converged,step size 0.1,step size 0.01,step size 0.001,GO Term Name
9987.0, -4817.612, 0.343, 471.547, 0.021, no, [3.78349669e-01 2.96599667e+03 1.78765513e-02], [6.32922247e-01 1.37670614e+03 2.19302742e-02], [7.25422853e+00 4.11250822e+04 1.30117423e-01],Cellular Process
65007.0, -4759.624, 0.356, 514.651, 0.024, no, [7.61073733e-01 2.28251736e+03 2.43709837e-02], [6.48888131e-01 2.95725995e+03 2.21435002e-02], [7.48774000e-01 2.32526784e+03 2.38621096e-02],Biological Regulation
50789.0, -4749.883, 0.349, 570.805, 0.022, no, [8.14386755e-01 2.41774820e+03 2.66603074e-02], [1.39328703e+00 2.31328554e+03 3.57824075e-02], [1.10464723e+00 3.90509587e+01 3.09365714e-02],Regulation of Biological Process
8152.0, -4251.094, 0.471, 579.518, 0.028, no, [1.33559011e+00 5.72177839e+03 4.47926867e-02], [1.67541975e+00 2.32750707e+04 4.73666858e-03], [1.24932180e+00 6.13508972e+03 4.31191182e-02],Metabolic Process
48518.0, -4324.144, 0.489, 610.78, 0.025, no, [1.22473050e+00 7.90668911e+03 4.71028632e-02], [3.36207058e+00 4.58831339e+03 8.11993670e-02], [1.05677678e+00 8.78149053e+03 4.40570470e-02],Positive Regulation
32502.0, -4185.45, 0.502, 638.133, 0.027, no, [1.84417529e+00 6.77867265e+03 5.86444538e-02], [1.65911286e+00 7.67651958e+03 5.52525887e-02], [1.65584683e+00 7.79193326e+03 5.53624983e-02],Developmental Process
50896.0, -4385.462, 0.52, 546.613, 0.032, no, [1.85556958e+00 5.88382150e+03 5.00073862e-02], [2.01763263e+00 5.45371523e+03 5.33312853e-02], [1.52587286e+00 7.39488621e+03 4.39522848e-02],Response to Stimulus
48519.0, -4099.264, 0.516, 648.224, 0.024, no, [1.87252807e+00 7.87878803e+03 6.20197660e-02], [9.84433422e+00 7.83064557e+04 1.00223813e-01], [1.66733745e+00 8.95215321e+03 5.88068244e-02],Negative Regulation
51179.0, -3896.972, 0.514, 710.569, 0.026, no, [1.97638872e+00 8.89080430e+03 6.33337715e-02], [2.07747562e+00 8.04991544e+03 6.44850037e-02], [1.88189604e+00 9.34993479e+03 6.14502616e-02],Localization
32501.0, -3770.335, 0.512, 951.345, 0.028, no, [2.54001521e+00 1.08844144e+04 8.31873795e-02], [3.31645980e+00 3.30445210e+03 9.63976319e-02], [2.41423303e+00 1.55957700e+04 8.48338624e-02],Multicellular Organismal Process
