GO Term,Number of Entries,GO Term Name,2d_biv_ind_gamma_symmetric_DFE,2d_biv_lognormal_DFE,1d_lognormal_DFE,2d_biv_ind_gamma_asymmetric_DFE,2d_gamma_DFE,2d_biv_lognormal_asymmetric_DFE
9987.0,55193.0,Cellular Process,"LL: -4817.612, shape: 0.343, scale: 471.547, misid: 0.021, Converged: no","LL: -616.773, log_mu: 8.561, log_sigma: 6.718, rho: 0.962, misid: 0.011, Converged: yes","LL: -629.772, log_mu: 8.012, log_sigma: 6.191, misid: 0.011, Converged: yes","LL: -5821.882, shape1: 0.559, scale1: 0.569, shape2: 100.0, scale2: 43.074, misid: 0.027, Converged: no","LL: -1052.691, shape: 0.441, scale: 398.83, misid: 0.021, Converged: no","LL: -613.029, log_mu1: 8.052, log_sigma1: 10.66, log_mu2: 6.278, log_sigma2: 8.769, rho: 0.955, misid: 0.011, Converged: no"
65007.0,46500.0,Biological Regulation,"LL: -4759.624, shape: 0.356, scale: 514.651, misid: 0.024, Converged: no","LL: -579.57, log_mu: 9.549, log_sigma: 6.977, rho: 0.96, misid: 0.011, Converged: yes","LL: -593.673, log_mu: 8.896, log_sigma: 6.39, misid: 0.011, Converged: yes","LL: -5840.879, shape1: 0.614, scale1: 0.6, shape2: 100.0, scale2: 53.339, misid: 0.026, Converged: no","LL: -1037.705, shape: 0.482, scale: 427.152, misid: 0.015, Converged: no","LL: -577.812, log_mu1: 9.201, log_sigma1: 10.0, log_mu2: 6.691, log_sigma2: 7.398, rho: 0.958, misid: 0.011, Converged: no"
50789.0,45171.0,Regulation of Biological Process,"LL: -4749.883, shape: 0.349, scale: 570.805, misid: 0.022, Converged: no","LL: -578.769, log_mu: 9.707, log_sigma: 7.006, rho: 0.961, misid: 0.011, Converged: yes","LL: -592.377, log_mu: 9.046, log_sigma: 6.421, misid: 0.011, Converged: yes","LL: -5848.223, shape1: 0.617, scale1: 0.58, shape2: 100.0, scale2: 58.113, misid: 0.031, Converged: no","LL: -1006.423, shape: 0.46, scale: 512.761, misid: 0.016, Converged: no","LL: -578.853, log_mu1: 9.946, log_sigma1: 10.0, log_mu2: 7.202, log_sigma2: 7.3, rho: 0.955, misid: 0.011, Converged: no"
8152.0,26542.0,Metabolic Process,"LL: -4251.094, shape: 0.471, scale: 579.518, misid: 0.028, Converged: no","LL: -520.139, log_mu: 13.486, log_sigma: 8.203, rho: 0.953, misid: 0.013, Converged: yes","LL: -542.759, log_mu: 12.383, log_sigma: 7.373, misid: 0.013, Converged: yes","LL: -5941.328, shape1: 0.866, scale1: 0.623, shape2: 69.213, scale2: 130.048, misid: 0.031, Converged: no","LL: -1060.145, shape: 0.563, scale: 633.054, misid: 0.019, Converged: no","LL: -551.511, log_mu1: 10.0, log_sigma1: 10.0, log_mu2: 5.894, log_sigma2: 5.633, rho: 0.999, misid: 0.014, Converged: yes"
48518.0,24676.0,Positive Regulation,"LL: -4324.144, shape: 0.489, scale: 610.78, misid: 0.025, Converged: no","LL: -516.611, log_mu: 13.897, log_sigma: 8.186, rho: 0.973, misid: 0.01, Converged: yes","LL: -522.729, log_mu: 13.234, log_sigma: 7.713, misid: 0.01, Converged: yes","LL: -6140.706, shape1: 0.837, scale1: 0.829, shape2: 85.217, scale2: 64.686, misid: 0.032, Converged: no","LL: -1129.238, shape: 0.596, scale: 557.513, misid: 0.017, Converged: no","LL: -550.443, log_mu1: 10.0, log_sigma1: 10.0, log_mu2: 5.7, log_sigma2: 5.524, rho: 0.999, misid: 0.012, Converged: yes"
32502.0,22005.0,Developmental Process,"LL: -4185.45, shape: 0.502, scale: 638.133, misid: 0.027, Converged: no","LL: -477.17, log_mu: 15.345, log_sigma: 8.79, rho: 0.975, misid: 0.01, Converged: yes","LL: -484.163, log_mu: 14.711, log_sigma: 8.349, misid: 0.01, Converged: yes","LL: -5622.847, shape1: 0.807, scale1: 0.631, shape2: 100.0, scale2: 142.107, misid: 0.025, Converged: no","LL: -945.349, shape: 0.554, scale: 1000.0, misid: 0.017, Converged: no","LL: -538.558, log_mu1: 10.0, log_sigma1: 10.0, log_mu2: 5.479, log_sigma2: 5.365, rho: 0.999, misid: 0.013, Converged: yes"
50896.0,21778.0,Response to Stimulus,"LL: -4385.462, shape: 0.52, scale: 546.613, misid: 0.032, Converged: no","LL: -483.881, log_mu: 15.232, log_sigma: 8.704, rho: 0.98, misid: 0.01, Converged: yes","LL: -488.311, log_mu: 14.724, log_sigma: 8.355, misid: 0.01, Converged: yes","LL: -6318.118, shape1: 0.95, scale1: 0.733, shape2: 70.257, scale2: 89.644, misid: 0.034, Converged: no","LL: -1164.983, shape: 0.62, scale: 563.189, misid: 0.018, Converged: no","LL: -538.481, log_mu1: 10.0, log_sigma1: 10.0, log_mu2: 5.503, log_sigma2: 5.327, rho: 0.999, misid: 0.013, Converged: yes"
48519.0,20830.0,Negative Regulation,"LL: -4099.264, shape: 0.516, scale: 648.224, misid: 0.024, Converged: no","LL: -476.98, log_mu: 15.541, log_sigma: 8.771, rho: 0.971, misid: 0.011, Converged: yes","LL: -484.441, log_mu: 14.724, log_sigma: 8.211, misid: 0.011, Converged: yes","LL: -5792.954, shape1: 0.859, scale1: 0.845, shape2: 99.967, scale2: 73.32, misid: 0.031, Converged: no","LL: -980.035, shape: 0.582, scale: 876.207, misid: 0.019, Converged: no","LL: -537.736, log_mu1: 10.0, log_sigma1: 10.0, log_mu2: 5.392, log_sigma2: 5.25, rho: 0.999, misid: 0.014, Converged: yes"
51179.0,19611.0,Localization,"LL: -3896.972, shape: 0.514, scale: 710.569, misid: 0.026, Converged: no","LL: -497.055, log_mu: 15.531, log_sigma: 8.669, rho: 0.965, misid: 0.01, Converged: yes","LL: -509.206, log_mu: 14.635, log_sigma: 8.049, misid: 0.01, Converged: yes","LL: -5958.62, shape1: 0.861, scale1: 1.121, shape2: 99.901, scale2: 41.314, misid: 0.031, Converged: no","LL: -1200.995, shape: 0.642, scale: 524.598, misid: 0.021, Converged: no","LL: -560.395, log_mu1: 10.0, log_sigma1: 10.0, log_mu2: 5.321, log_sigma2: 5.176, rho: 0.999, misid: 0.013, Converged: yes"
32501.0,17117.0,Multicellular Organismal Process,"LL: -3770.335, shape: 0.512, scale: 951.345, misid: 0.028, Converged: no","LL: -506.062, log_mu: 16.343, log_sigma: 8.751, rho: 0.981, misid: 0.01, Converged: yes","LL: -510.022, log_mu: 15.991, log_sigma: 8.51, misid: 0.01, Converged: yes","LL: -5724.121, shape1: 0.929, scale1: 0.958, shape2: 100.0, scale2: 72.068, misid: 0.034, Converged: no","LL: -988.461, shape: 0.603, scale: 1000.0, misid: 0.017, Converged: no","LL: -581.329, log_mu1: 10.0, log_sigma1: 10.0, log_mu2: 5.113, log_sigma2: 4.963, rho: 0.999, misid: 0.013, Converged: yes"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
