GO Term,LL, log_mu, log_sigma, misid, Converged,GO Term Name,log_mu uncertainty,log_sigma uncertainty,misid uncertainty
9987.0,-629.772,8.012,6.191,0.011, yes,Cellular Process,27.9366499,9.78549545,0.00376851351
65007.0,-593.673,8.896,6.39,0.011, yes,Biological Regulation,35.6179578,11.8808798,0.00323304208
50789.0,-592.377,9.046,6.421,0.011, yes,Regulation of Biological Process,36.9478637,12.2037577,0.00361190759
8152.0,-542.759,12.383,7.373,0.013, yes,Metabolic Process,77.1019063,22.6767664,0.00571884829
48518.0,-522.729,13.234,7.713,0.01, yes,Positive Regulation,87.438609,25.0163841,0.00534719555
32502.0,-484.163,14.711,8.349,0.01, yes,Developmental Process,108.761272,31.1462433,0.00618455107
50896.0,-488.311,14.724,8.355,0.01, yes,Response to Stimulus,109.786499,31.7436303,0.00832728688
48519.0,-484.441,14.724,8.211,0.011, yes,Negative Regulation,113.423774,32.021792,0.00722317699
51179.0,-509.206,14.635,8.049,0.01, yes,Localization,115.330582,31.9836311,0.0057338655
32501.0,-510.022,15.991,8.51,0.01, yes,Multicellular Organismal Process,130.765326,32.2378793,0.00491954422
