GO Term,Number of Entries,Name
GO:0007165,7414, signal transduction
GO:0007155,4687, cell adhesion
GO:0007186,4524, G protein-coupled receptor signaling pathway
GO:0045944,4350, positive regulation of transcription by RNA polymerase II
GO:0006355,4148, regulation of DNA-templated transcription
GO:0006357,4067, regulation of transcription by RNA polymerase II
GO:0016310,3779, phosphorylation
GO:0006468,3321, protein phosphorylation
GO:0000122,3281, negative regulation of transcription by RNA polymerase II
GO:0030154,3276, cell differentiation
GO:0045893,2978, positive regulation of DNA-templated transcription
GO:0006629,2944, lipid metabolic process
GO:0015031,2754, protein transport
GO:0055085,2632, transmembrane transport
GO:0006811,2611, monoatomic ion transport
GO:0007608,2366, sensory perception of smell
GO:0050911,2267, detection of chemical stimulus involved in sensory perception of smell
GO:0006915,2221, apoptotic process
GO:0035556,2206, intracellular signal transduction
GO:0010628,2170, positive regulation of gene expression
GO:0007049,2111, cell cycle
GO:0045892,2105, negative regulation of DNA-templated transcription
GO:0006974,2078, DNA damage response
GO:0006508,2068, proteolysis
GO:0016567,2001, protein ubiquitination
GO:0007399,1920, nervous system development
GO:0007283,1913, spermatogenesis
GO:0007156,1909, homophilic cell adhesion via plasma membrane adhesion molecules
GO:0043066,1755, negative regulation of apoptotic process
GO:0008284,1706, positive regulation of cell population proliferation
GO:0006281,1657, DNA repair
GO:0098609,1638, cell-cell adhesion
GO:0006338,1623, chromatin remodeling
GO:0007507,1620, heart development
GO:0006325,1580, chromatin organization
GO:0034220,1577, monoatomic ion transmembrane transport
GO:0008285,1513, negative regulation of cell population proliferation
GO:0045087,1469, innate immune response
GO:0001701,1441, in utero embryonic development
GO:0051649,1402, establishment of localization in cell
GO:0051301,1399, cell division
GO:0007411,1372, axon guidance
GO:0030335,1357, positive regulation of cell migration
GO:0030036,1340, actin cytoskeleton organization
GO:0006897,1269, endocytosis
GO:0043065,1261, positive regulation of apoptotic process
GO:0060271,1260, cilium assembly
GO:0010468,1206, regulation of gene expression
GO:0016477,1159, cell migration
GO:0007605,1134, sensory perception of sound
GO:0006954,1091, inflammatory response
GO:0006886,1081, intracellular protein transport
GO:0030198,1059, extracellular matrix organization
GO:0016192,1047, vesicle-mediated transport
GO:0006511,1043, ubiquitin-dependent protein catabolic process
GO:0006397,1037, mRNA processing
GO:0009410,1026, response to xenobiotic stimulus
GO:0043410,1022, positive regulation of MAPK cascade
GO:0008283,1021, cell population proliferation
GO:0007010,1020, cytoskeleton organization
GO:0030030,981, cell projection organization
GO:0006869,980, lipid transport
GO:0007420,975, brain development
GO:0006816,972, calcium ion transport
GO:0000226,951, microtubule cytoskeleton organization
GO:0007166,939, cell surface receptor signaling pathway
GO:0001822,919, kidney development
GO:0010629,905, negative regulation of gene expression
GO:0010467,895, gene expression
GO:0001934,885, positive regulation of protein phosphorylation
GO:0072659,856, protein localization to plasma membrane
GO:0001525,837, angiogenesis
GO:0042981,800, regulation of apoptotic process
GO:0007409,796, axonogenesis
GO:0008104,794, protein localization
GO:0008380,786, RNA splicing
GO:0031175,782, neuron projection development
GO:0051897,770, positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
GO:0007018,765, microtubule-based movement
GO:0070588,762, calcium ion transmembrane transport
GO:0006914,755, autophagy
GO:0000902,754, cell morphogenesis
GO:0005975,743, carbohydrate metabolic process
GO:0030182,742, neuron differentiation
GO:0050804,739, modulation of chemical synaptic transmission
GO:0051726,727, regulation of cell cycle
GO:0007626,726, locomotory behavior
GO:0007268,725, chemical synaptic transmission
GO:0071277,720, cellular response to calcium ion
GO:0016055,719, Wnt signaling pathway
GO:0007264,715, small GTPase-mediated signal transduction
GO:0006631,711, fatty acid metabolic process
GO:0009617,710, response to bacterium
GO:0070374,705, positive regulation of ERK1 and ERK2 cascade
GO:0000209,702, protein polyubiquitination
GO:0006874,694, intracellular calcium ion homeostasis
GO:0043123,692, positive regulation of canonical NF-kappaB signal transduction
GO:0071456,690, cellular response to hypoxia
GO:0006486,681, protein glycosylation
GO:0042593,674, glucose homeostasis
GO:0043161,673, proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0016311,673, dephosphorylation
GO:0010976,670, positive regulation of neuron projection development
GO:0032496,660, response to lipopolysaccharide
GO:0003341,660, cilium movement
GO:0006366,653, transcription by RNA polymerase II
GO:0045766,652, positive regulation of angiogenesis
GO:0007601,647, visual perception
GO:0045471,642, response to ethanol
GO:0043524,640, negative regulation of neuron apoptotic process
GO:0009887,634, animal organ morphogenesis
GO:0007015,633, actin filament organization
GO:0030336,629, negative regulation of cell migration
GO:0006887,617, exocytosis
GO:0006470,608, protein dephosphorylation
GO:0007030,606, Golgi organization
GO:0035264,599, multicellular organism growth
GO:0065003,599, protein-containing complex assembly
GO:0050821,596, protein stabilization
GO:0007169,594, cell surface receptor protein tyrosine kinase signaling pathway
GO:0007160,594, cell-matrix adhesion
GO:0022008,594, neurogenesis
GO:0030317,593, flagellated sperm motility
GO:0007613,590, memory
GO:0002244,581, hematopoietic progenitor cell differentiation
GO:0006412,573, translation
GO:0001666,571, response to hypoxia
GO:0051607,571, defense response to virus
GO:0032259,550, methylation
GO:0008360,549, regulation of cell shape
GO:0030163,547, protein catabolic process
GO:0006814,545, sodium ion transport
GO:0003007,543, heart morphogenesis
GO:0071805,536, potassium ion transmembrane transport
GO:0031647,536, regulation of protein stability
GO:0042060,533, wound healing
GO:0000165,533, MAPK cascade
GO:0051642,532, centrosome localization
GO:0019722,530, calcium-mediated signaling
GO:0043547,528, positive regulation of GTPase activity
GO:0016042,527, lipid catabolic process
GO:0045184,521, establishment of protein localization
GO:0060041,519, retina development in camera-type eye
GO:0050808,512, synapse organization
GO:0045214,509, sarcomere organization
GO:0035725,508, sodium ion transmembrane transport
GO:0006417,508, regulation of translation
GO:0007005,508, mitochondrion organization
GO:0006813,507, potassium ion transport
GO:0001843,506, neural tube closure
GO:0071560,506, cellular response to transforming growth factor beta stimulus
GO:0046777,505, protein autophosphorylation
GO:0000724,500, double-strand break repair via homologous recombination
GO:0042391,500, regulation of membrane potential
GO:0007219,500, Notch signaling pathway
GO:0045494,499, photoreceptor cell maintenance
GO:0008543,499, fibroblast growth factor receptor signaling pathway
GO:0008344,498, adult locomotory behavior
GO:0042127,498, regulation of cell population proliferation
GO:0051321,496, meiotic cell cycle
GO:0051402,494, neuron apoptotic process
GO:0051260,493, protein homooligomerization
GO:0060048,491, cardiac muscle contraction
GO:0071260,491, cellular response to mechanical stimulus
GO:0006260,490, DNA replication
GO:0007229,490, integrin-mediated signaling pathway
GO:1902476,487, chloride transmembrane transport
GO:0007416,487, synapse assembly
GO:0001764,486, neuron migration
GO:0030334,485, regulation of cell migration
GO:0050680,485, negative regulation of epithelial cell proliferation
GO:0071222,480, cellular response to lipopolysaccharide
GO:0002250,480, adaptive immune response
GO:0007266,480, Rho protein signal transduction
GO:0007189,474, adenylate cyclase-activating G protein-coupled receptor signaling pathway
GO:0001889,469, liver development
GO:0032869,466, cellular response to insulin stimulus
GO:0019221,465, cytokine-mediated signaling pathway
GO:0007204,464, positive regulation of cytosolic calcium ion concentration
GO:0060294,461, cilium movement involved in cell motility
GO:0007612,458, learning
GO:0050731,453, positive regulation of peptidyl-tyrosine phosphorylation
GO:0006955,453, immune response
GO:0048856,453, anatomical structure development
GO:0048488,452, synaptic vesicle endocytosis
GO:0030900,452, forebrain development
GO:0045104,451, intermediate filament cytoskeleton organization
GO:0030512,451, negative regulation of transforming growth factor beta receptor signaling pathway
GO:0001501,449, skeletal system development
GO:0009791,445, post-embryonic development
GO:0007368,445, determination of left/right symmetry
GO:0071300,445, cellular response to retinoic acid
GO:0006805,444, xenobiotic metabolic process
GO:0050728,443, negative regulation of inflammatory response
GO:0007584,441, response to nutrient
GO:0055013,440, cardiac muscle cell development
GO:0043491,440, phosphatidylinositol 3-kinase/protein kinase B signal transduction
GO:1902017,438, regulation of cilium assembly
GO:0008286,438, insulin receptor signaling pathway
GO:0007154,437, cell communication
GO:0006936,437, muscle contraction
GO:0090090,436, negative regulation of canonical Wnt signaling pathway
GO:0060021,435, roof of mouth development
GO:0050727,434, regulation of inflammatory response
GO:0099175,432, regulation of postsynapse organization
GO:0048839,431, inner ear development
GO:0048661,428, positive regulation of smooth muscle cell proliferation
GO:0046330,422, positive regulation of JNK cascade
GO:0006979,419, response to oxidative stress
GO:0008202,419, steroid metabolic process
GO:0010508,417, positive regulation of autophagy
GO:0050714,415, positive regulation of protein secretion
GO:0051592,415, response to calcium ion
GO:0014070,414, response to organic cyclic compound
GO:0007097,413, nuclear migration
GO:0060122,413, inner ear receptor cell stereocilium organization
GO:0001756,410, somitogenesis
GO:0007417,409, central nervous system development
GO:0006888,409, endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0032956,408, regulation of actin cytoskeleton organization
GO:0001938,407, positive regulation of endothelial cell proliferation
GO:0051028,407, mRNA transport
GO:0007179,406, transforming growth factor beta receptor signaling pathway
GO:0048167,404, regulation of synaptic plasticity
GO:0050852,403, T cell receptor signaling pathway
GO:0001954,403, positive regulation of cell-matrix adhesion
GO:0008203,402, cholesterol metabolic process
GO:0017148,397, negative regulation of translation
GO:0032880,396, regulation of protein localization
GO:0042632,395, cholesterol homeostasis
GO:0001837,393, epithelial to mesenchymal transition
GO:0006302,390, double-strand break repair
GO:0006606,389, protein import into nucleus
GO:0098655,388, monoatomic cation transmembrane transport
GO:0021549,386, cerebellum development
GO:0071466,386, cellular response to xenobiotic stimulus
GO:0051289,385, protein homotetramerization
GO:0008584,385, male gonad development
GO:0032024,384, positive regulation of insulin secretion
GO:0090263,384, positive regulation of canonical Wnt signaling pathway
GO:0048814,382, regulation of dendrite morphogenesis
GO:0016197,382, endosomal transport
GO:0007286,381, spermatid development
GO:0048812,381, neuron projection morphogenesis
GO:1904707,380, positive regulation of vascular associated smooth muscle cell proliferation
GO:0016339,378, calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0043484,377, regulation of RNA splicing
GO:0006898,377, receptor-mediated endocytosis
GO:0048870,377, cell motility
GO:0099171,375, presynaptic modulation of chemical synaptic transmission
GO:0007611,372, learning or memory
GO:0001933,372, negative regulation of protein phosphorylation
GO:0007162,372, negative regulation of cell adhesion
GO:0030324,369, lung development
GO:0048666,366, neuron development
GO:0042472,364, inner ear morphogenesis
GO:0009267,363, cellular response to starvation
GO:0042742,361, defense response to bacterium
GO:0045785,360, positive regulation of cell adhesion
GO:0007224,359, smoothened signaling pathway
GO:0031581,358, hemidesmosome assembly
GO:1990830,358, cellular response to leukemia inhibitory factor
GO:0051898,358, negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
GO:0021591,354, ventricular system development
GO:0016525,353, negative regulation of angiogenesis
GO:0009968,353, negative regulation of signal transduction
GO:0051865,350, protein autoubiquitination
GO:0050953,348, sensory perception of light stimulus
GO:0030032,347, lamellipodium assembly
GO:0051641,346, cellular localization
GO:0006821,346, chloride transport
GO:1902600,345, proton transmembrane transport
GO:0050885,345, neuromuscular process controlling balance
GO:0034332,345, adherens junction organization
GO:0050877,344, nervous system process
GO:0043588,344, skin development
GO:0034446,342, substrate adhesion-dependent cell spreading
GO:0030308,342, negative regulation of cell growth
GO:1905515,340, non-motile cilium assembly
GO:0030838,340, positive regulation of actin filament polymerization
GO:0006310,339, DNA recombination
GO:0071333,339, cellular response to glucose stimulus
GO:0033138,338, positive regulation of peptidyl-serine phosphorylation
GO:0009952,338, anterior/posterior pattern specification
GO:0001503,338, ossification
GO:0001932,337, regulation of protein phosphorylation
GO:0007157,336, heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0060291,336, long-term synaptic potentiation
GO:0035176,335, social behavior
GO:0048738,335, cardiac muscle tissue development
GO:0007623,334, circadian rhythm
GO:0030155,331, regulation of cell adhesion
GO:0006513,328, protein monoubiquitination
GO:0048701,328, embryonic cranial skeleton morphogenesis
GO:0050679,327, positive regulation of epithelial cell proliferation
GO:0045444,324, fat cell differentiation
GO:0007628,324, adult walking behavior
GO:0035249,323," synaptic transmission, glutamatergic"
GO:0060088,323, auditory receptor cell stereocilium organization
GO:0071346,322, cellular response to type II interferon
GO:0010839,322, negative regulation of keratinocyte proliferation
GO:0009749,321, response to glucose
GO:0099149,320, regulation of postsynaptic neurotransmitter receptor internalization
GO:0050905,319, neuromuscular process
GO:0043434,319, response to peptide hormone
GO:0007059,318, chromosome segregation
GO:0045732,317, positive regulation of protein catabolic process
GO:0009611,317, response to wounding
GO:0001649,317, osteoblast differentiation
GO:0071320,316, cellular response to cAMP
GO:0071479,316, cellular response to ionizing radiation
GO:0086091,316, regulation of heart rate by cardiac conduction
GO:0044344,316, cellular response to fibroblast growth factor stimulus
GO:0070936,315, protein K48-linked ubiquitination
GO:0016043,315, cellular component organization
GO:0032436,315, positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0006364,313, rRNA processing
GO:0003300,312, cardiac muscle hypertrophy
GO:0042733,311, embryonic digit morphogenesis
GO:0050673,311, epithelial cell proliferation
GO:0043525,310, positive regulation of neuron apoptotic process
GO:0071356,309, cellular response to tumor necrosis factor
GO:0055008,308, cardiac muscle tissue morphogenesis
GO:0030307,307, positive regulation of cell growth
GO:0007200,307, phospholipase C-activating G protein-coupled receptor signaling pathway
GO:0032760,306, positive regulation of tumor necrosis factor production
GO:0021766,306, hippocampus development
GO:0048333,305, mesodermal cell differentiation
GO:0006351,304, DNA-templated transcription
GO:0000398,303," mRNA splicing, via spliceosome"
GO:0030216,303, keratinocyte differentiation
GO:0007043,303, cell-cell junction assembly
GO:0051496,301, positive regulation of stress fiber assembly
GO:0070050,301, neuron cellular homeostasis
GO:0048813,301, dendrite morphogenesis
GO:0007265,300, Ras protein signal transduction
GO:0032467,300, positive regulation of cytokinesis
GO:0009653,300, anatomical structure morphogenesis
GO:0032007,299, negative regulation of TOR signaling
GO:0016485,299, protein processing
GO:0030100,299, regulation of endocytosis
GO:0031667,299, response to nutrient levels
GO:0060113,298, inner ear receptor cell differentiation
GO:0006493,297, protein O-linked glycosylation
GO:0055003,297, cardiac myofibril assembly
GO:0045727,296, positive regulation of translation
GO:0016601,295, Rac protein signal transduction
GO:0015914,295, phospholipid transport
GO:0010737,294, protein kinase A signaling
GO:0046627,294, negative regulation of insulin receptor signaling pathway
GO:0006457,294, protein folding
GO:0071407,294, cellular response to organic cyclic compound
GO:0070534,293, protein K63-linked ubiquitination
GO:0030010,293, establishment of cell polarity
GO:0000381,293," regulation of alternative mRNA splicing, via spliceosome"
GO:0120162,292, positive regulation of cold-induced thermogenesis
GO:0019228,292, neuronal action potential
GO:0032508,292, DNA duplex unwinding
GO:0048013,291, ephrin receptor signaling pathway
GO:0002009,290, morphogenesis of an epithelium
GO:0042552,290, myelination
GO:0021987,289, cerebral cortex development
GO:0009888,287, tissue development
GO:0098696,287, regulation of neurotransmitter receptor localization to postsynaptic specialization membrane
GO:0006396,286, RNA processing
GO:0050830,286, defense response to Gram-positive bacterium
GO:0006633,285, fatty acid biosynthetic process
GO:0019236,285, response to pheromone
GO:0030217,285, T cell differentiation
GO:0007528,284, neuromuscular junction development
GO:1904646,284, cellular response to amyloid-beta
GO:0022011,284, myelination in peripheral nervous system
GO:1901897,284, regulation of relaxation of cardiac muscle
GO:0006935,283, chemotaxis
GO:0034599,283, cellular response to oxidative stress
GO:0002052,283, positive regulation of neuroblast proliferation
GO:0006909,281, phagocytosis
GO:0060070,281, canonical Wnt signaling pathway
GO:0055007,280, cardiac muscle cell differentiation
GO:0007512,278, adult heart development
GO:0009725,278, response to hormone
GO:0017157,278, regulation of exocytosis
GO:0002218,278, activation of innate immune response
