GOID	TERM
GO:0007442	hindgut morphogenesis
GO:0001837	epithelial to mesenchymal transition
GO:0080166	stomium development
GO:0061030	epithelial cell differentiation involved in mammary gland alveolus development
GO:0060836	lymphatic endothelial cell differentiation
GO:0048716	labrum morphogenesis
GO:0010014	meristem initiation
GO:0150019	basal dendrite morphogenesis
GO:0048465	corolla development
GO:0021638	trigeminal nerve formation
GO:0001748	insect visual primordium development
GO:0039019	pronephric nephron development
GO:0060718	chorionic trophoblast cell differentiation
GO:0014017	neuroblast fate commitment
GO:0021556	central nervous system formation
GO:0035133	post-embryonic caudal fin morphogenesis
GO:0072055	renal cortex development
GO:0043249	erythrocyte maturation
GO:0002334	transitional two stage B cell differentiation
GO:0048937	lateral line nerve glial cell development
GO:0034303	myxospore formation
GO:0042462	eye photoreceptor cell development
GO:0048717	anterior cibarial plate morphogenesis
GO:0048880	sensory system development
GO:0072236	metanephric loop of Henle development
GO:0021605	cranial nerve maturation
GO:0043403	skeletal muscle tissue regeneration
GO:0048726	labrum development
GO:0048372	lateral mesodermal cell fate commitment
GO:0060430	lung saccule development
GO:0060658	nipple morphogenesis
GO:0060873	anterior semicircular canal development
GO:0048928	posterior lateral line ganglion neuron differentiation
GO:0060068	vagina development
GO:0002573	myeloid leukocyte differentiation
GO:0072029	long nephron development
GO:0097736	aerial mycelium formation
GO:0072231	metanephric proximal convoluted tubule segment 1 development
GO:0007370	ventral furrow formation
GO:0099121	fungal sorus development
GO:0035225	determination of genital disc primordium
GO:0007475	apposition of dorsal and ventral imaginal disc-derived wing surfaces
GO:0021877	forebrain neuron fate commitment
GO:0003288	ventricular septum intermedium morphogenesis
GO:0048528	post-embryonic root development
GO:0021632	optic nerve maturation
GO:0060023	soft palate development
GO:0043935	sexual sporulation resulting in formation of a cellular spore
GO:0007488	histoblast morphogenesis
GO:0021598	abducens nerve morphogenesis
GO:0048568	embryonic organ development
GO:0003175	tricuspid valve development
GO:0035764	dorsal motor nucleus of vagus nerve formation
GO:0048895	lateral line nerve glial cell differentiation
GO:0160122	corneal epithelial cell differentiation
GO:0021771	lateral geniculate nucleus development
GO:0021628	olfactory nerve formation
GO:0035761	dorsal motor nucleus of vagus nerve maturation
GO:0061113	pancreas morphogenesis
GO:0060533	bronchus cartilage morphogenesis
GO:0106092	glial cell projection elongation involved in axon ensheathment
GO:0060979	vasculogenesis involved in coronary vascular morphogenesis
GO:0007433	larval salivary gland boundary specification
GO:0048533	sporocyte differentiation
GO:0060661	submandibular salivary gland formation
GO:0048331	axial mesoderm structural organization
GO:0072276	metanephric glomerulus vasculature morphogenesis
GO:0060290	transdifferentiation
GO:0035990	tendon cell differentiation
GO:0075313	basidium development
GO:0021524	visceral motor neuron differentiation
GO:0000905	sporocarp development involved in asexual reproduction
GO:0007560	imaginal disc morphogenesis
GO:0060485	mesenchyme development
GO:0001825	blastocyst formation
GO:0048705	skeletal system morphogenesis
GO:0021668	rhombomere 6 structural organization
GO:0048894	efferent axon development in a lateral line nerve
GO:0060113	inner ear receptor cell differentiation
GO:0072003	kidney rudiment formation
GO:0007523	larval visceral muscle development
GO:0002284	myeloid dendritic cell differentiation involved in immune response
GO:0061146	Peyer's patch morphogenesis
GO:0048316	seed development
GO:0021977	tectospinal tract morphogenesis
GO:0061008	hepaticobiliary system development
GO:0042680	compound eye cone cell fate determination
GO:0048768	root hair cell tip growth
GO:0007476	imaginal disc-derived wing morphogenesis
GO:0021958	gracilis tract morphogenesis
GO:0030219	megakaryocyte differentiation
GO:0003162	atrioventricular node development
GO:0008583	mystery cell differentiation
GO:0021712	candelabrum cell differentiation
GO:0021604	cranial nerve structural organization
GO:0075016	appressorium formation
GO:0007286	spermatid development
GO:1905223	epicardium morphogenesis
GO:0010434	bract formation
GO:0048463	carpel structural organization
GO:0048907	anterior lateral line ganglion development
GO:0048939	anterior lateral line nerve glial cell development
GO:0003152	morphogenesis of an epithelial fold involved in embryonic heart tube formation
GO:0010311	lateral root formation
GO:0016322	neuron remodeling
GO:0090691	formation of plant organ boundary
GO:0042693	muscle cell fate commitment
GO:0001830	trophectodermal cell fate commitment
GO:0003424	establishment of cell polarity involved in growth plate cartilage chondrocyte division
GO:1905275	Rohon-Beard neuron differentiation
GO:0002363	alpha-beta T cell lineage commitment
GO:0002313	mature B cell differentiation involved in immune response
GO:0061294	mesonephric renal vesicle induction
GO:0003349	epicardium-derived cardiac endothelial cell differentiation
GO:0061550	cranial ganglion development
GO:0060889	limb basal epidermal cell differentiation
GO:0090504	epiboly
GO:0060033	anatomical structure regression
