GO Term,Number of Entries
GO:1905093,0
GO:0002231,0
GO:0009413,0
GO:1905582,0
GO:0035901,0
GO:1904614,0
GO:0000303,2
GO:0071467,37
GO:1904116,0
GO:1904317,3
GO:1902350,0
GO:0071476,70
GO:1904644,0
GO:1904016,5
GO:0035714,2
GO:0009409,90
GO:0035874,4
GO:0009730,0
GO:0042496,0
GO:0009642,44
GO:0010202,0
GO:1990170,0
GO:0071502,47
GO:0051597,71
GO:1904583,3
GO:1904927,0
GO:0061478,0
GO:0014895,2
GO:0014876,0
GO:0071311,0
GO:1904383,55
GO:0006972,37
GO:0071365,0
GO:0042832,50
GO:0061646,36
GO:0071277,720
GO:0035457,28
GO:1905236,0
GO:0034514,3
GO:0051775,45
GO:0036277,0
GO:0034285,2
GO:0044321,37
GO:0071478,18
GO:0051873,3
GO:0002461,0
GO:0036256,0
GO:0072743,0
GO:0061959,0
GO:0003024,0
GO:0071237,0
GO:0072706,0
GO:0061479,0
GO:0042381,0
GO:0002451,0
GO:0090714,0
GO:0009646,0
GO:0070059,140
GO:0042494,25
GO:0070716,0
GO:1901422,0
GO:0160023,0
GO:0072732,1
GO:0045990,0
GO:0042770,103
GO:0097714,0
GO:0072702,0
GO:0046776,0
GO:0071798,0
GO:0098757,0
GO:0140467,14
GO:0002544,9
GO:0009689,0
GO:0052562,0
GO:0001666,571
GO:0071681,32
GO:1904842,0
GO:0050832,24
GO:0071388,0
GO:1905120,0
GO:0090731,0
GO:0071323,0
GO:1990868,0
GO:0032149,0
GO:0010165,47
GO:1905231,5
GO:0071872,114
0050896,0
GO:0039579,0
GO:0072747,0
GO:0070305,7
GO:0051788,1
GO:0010332,131
GO:0009432,0
GO:1903166,0
GO:0001079,0
GO:1990792,17
GO:0071066,0
GO:0071868,0
GO:0052156,0
GO:0072426,0
GO:0032355,180
GO:0006307,25
GO:1903545,0
GO:0071226,3
GO:0075000,0
GO:0035900,11
GO:0033198,70
GO:0071488,0
GO:0046689,11
GO:0000437,0
GO:0050907,23
GO:1901499,0
GO:0042267,55
GO:0090295,0
GO:0001081,0
GO:0070945,0
GO:1990911,18
GO:0043331,0
GO:0003036,0
GO:0048575,0
GO:0009584,0
GO:0141177,0
GO:1902522,0
GO:0002383,0
GO:1905439,0
GO:1990680,2
GO:0034289,0
GO:0071559,119
GO:0006303,132
GO:0035634,2
GO:0002400,0
GO:0010272,1
GO:1904404,0
GO:1990910,16
GO:0052089,0
GO:1904551,0
GO:0033574,113
GO:0002355,1
GO:0051602,113
GO:1902518,0
GO:1904481,0
GO:0072432,0
GO:0071447,32
GO:1990253,31
GO:0031318,0
GO:0090293,0
GO:0010212,255
GO:1990638,0
GO:0071304,0
GO:0036016,27
GO:0039699,0
GO:0140403,0
GO:0043279,74
GO:0052373,2
GO:1901594,20
GO:1901700,1
GO:0010266,2
GO:0071867,0
GO:0060082,18
GO:0071286,85
GO:0072713,0
GO:0000012,54
GO:0009626,0
GO:0097328,0
GO:1990396,0
GO:0034605,232
GO:0052154,0
GO:0010996,113
GO:0035995,250
GO:0097715,0
GO:0046687,18
GO:0048573,0
GO:0071446,0
GO:0046685,44
GO:0035729,65
GO:0046681,0
GO:0006995,27
GO:0140919,0
GO:0071250,0
GO:0042771,109
GO:0009906,0
GO:0071215,0
GO:0010043,175
GO:0071331,0
GO:0034201,5
GO:0001101,0
GO:0071395,18
GO:0071870,17
GO:0098760,0
GO:0071217,5
GO:1903928,0
GO:0071772,0
GO:0036119,14
GO:0002237,0
GO:0051595,0
GO:0009725,278
GO:0071397,161
GO:0071345,139
GO:1990169,0
GO:0071381,0
GO:0070947,0
GO:0052067,0
GO:0050910,273
GO:0052572,0
GO:1901559,0
GO:0007095,175
GO:0002445,0
GO:0060242,11
GO:0097330,0
GO:0031573,88
GO:0009995,0
GO:0071280,53
GO:0006991,0
GO:1901545,0
GO:0141203,0
GO:0009737,0
GO:1904647,0
GO:0090716,0
GO:1905237,5
GO:0050969,0
GO:1902438,0
GO:0033555,8
GO:0009751,3
GO:0098516,0
GO:0141059,0
GO:1904322,53
GO:1990864,3
GO:0071364,145
GO:0071368,0
GO:0050908,119
GO:0043201,4
GO:0045991,0
GO:0036296,0
GO:0097184,0
GO:0071486,29
GO:0071332,0
GO:0032491,0
GO:0071480,187
GO:0039557,0
GO:0001662,172
GO:0039504,0
GO:0036223,0
GO:1901595,0
GO:0052158,0
GO:0071224,14
GO:0006956,134
GO:0071317,0
GO:1904627,0
GO:0007632,5
GO:1903936,24
GO:0071396,15
GO:0141179,0
GO:0071379,15
GO:0170002,0
GO:1904402,0
GO:0009648,0
GO:0045004,44
GO:0050965,181
GO:0042631,13
GO:0009722,0
GO:0034284,4
GO:0031103,167
GO:1904313,5
GO:1904645,69
GO:0033594,1
GO:0002420,0
GO:0080052,0
GO:0071251,0
GO:0036216,0
GO:0034620,75
GO:1905395,0
GO:1902168,0
GO:0072751,0
GO:0071245,0
GO:0001583,0
GO:0090644,0
GO:0042275,2
GO:0020033,0
GO:1902780,0
GO:0000304,0
GO:1904926,0
GO:0003035,0
GO:0006957,60
GO:0097701,0
GO:0071774,18
GO:0006954,1091
GO:0070541,3
GO:0106167,0
GO:1903350,2
GO:0098581,0
GO:0098512,0
GO:0070911,0
GO:0036315,0
GO:1905377,0
GO:0031152,0
GO:0075138,0
GO:0036120,176
GO:0060005,15
GO:0035967,0
GO:1902779,0
GO:0046684,20
GO:0034286,0
GO:0009704,0
GO:0035864,32
GO:0051607,571
GO:0002438,51
GO:0002467,10
GO:0071107,20
GO:0071732,70
GO:0008630,231
GO:0046016,0
GO:0014732,17
GO:0072441,0
GO:0071873,8
GO:0048572,0
GO:0045472,2
GO:0033554,13
GO:0071321,29
GO:0042465,0
GO:0014075,114
GO:0036295,32
GO:0032490,0
GO:1904588,8
GO:0097318,0
GO:0035713,2
GO:0071366,0
GO:0035962,0
GO:0071295,8
GO:0009719,9
GO:1901698,0
GO:0051707,37
GO:1904587,0
GO:0044414,0
GO:1901701,0
GO:1904567,0
GO:0150076,8
GO:0090594,0
GO:0035963,11
GO:1905229,7
GO:0030265,0
GO:0019985,48
GO:0042331,0
GO:0141132,0
GO:1905396,0
GO:0043200,116
GO:0014864,0
GO:0060007,0
GO:0071471,0
GO:0001794,0
GO:0048574,0
GO:0032498,0
GO:0070670,11
GO:0072752,4
GO:0042149,222
GO:0072470,0
GO:0035744,0
GO:0075137,0
GO:0002242,0
GO:1990267,5
GO:0035728,0
GO:0046775,0
GO:0071301,0
GO:0042784,0
GO:1901558,13
GO:0002455,9
GO:0043326,0
GO:0032354,19
GO:0071402,0
GO:0071444,0
GO:1905218,0
GO:1904610,0
GO:0071316,28
GO:1904637,18
GO:0034287,0
GO:0071481,80
GO:1990878,3
GO:0090717,5
GO:0009600,0
GO:0075043,0
GO:0052168,0
GO:0050974,62
GO:0071229,0
GO:0001562,0
GO:0039671,0
GO:0050970,0
GO:0070483,1
GO:0072760,0
GO:0014806,1
GO:0071258,3
GO:0071242,105
GO:0071348,17
GO:0031427,25
GO:0009631,14
GO:0036279,0
GO:0031848,31
GO:1905374,0
GO:0010045,18
GO:0043479,0
GO:0007604,0
GO:0097704,0
GO:0006791,0
GO:0032933,61
GO:0006971,40
GO:0071469,5
GO:0000720,19
GO:0071390,0
GO:0071298,2
GO:0044344,316
GO:0097327,21
GO:0071370,0
GO:0014873,3
GO:1901354,0
GO:0044592,0
GO:0032499,0
GO:0010205,0
GO:0042468,0
GO:0097337,0
GO:0060359,0
GO:0014012,1
GO:0097333,0
GO:0014805,0
GO:0036276,0
GO:0009652,0
GO:1905441,0
GO:0071454,1
GO:0002210,0
GO:0052103,0
GO:0009861,0
GO:0071731,28
GO:0071324,0
GO:0050912,35
GO:0071450,0
GO:0010288,67
GO:0080034,0
GO:0051414,12
GO:0009270,0
GO:0097210,1
GO:0090546,0
GO:0072745,0
GO:0072720,0
GO:0097705,0
GO:1904560,0
GO:0072396,0
GO:0071214,0
GO:0071279,3
GO:0071505,0
GO:0039723,0
GO:0036471,2
GO:0009582,0
GO:0072733,0
GO:1902169,0
GO:0071355,0
GO:0035458,198
GO:0009644,12
GO:0080184,0
GO:0042262,12
GO:0043504,8
GO:0006983,36
GO:0009749,321
GO:1904585,0
GO:0016056,1
GO:0071315,10
GO:0014894,107
GO:1904312,0
GO:1990790,0
GO:0070391,0
GO:0044355,0
GO:0097403,7
GO:0001905,12
GO:0097466,4
GO:0002215,7
GO:1990054,0
GO:0010225,48
GO:0072721,9
GO:0031001,0
GO:0097706,0
GO:0032497,27
GO:0036287,0
GO:0036293,13
GO:1901344,0
GO:0071233,173
GO:0034054,0
GO:1905233,5
GO:0006959,88
GO:0031104,16
GO:0098542,51
GO:0051365,5
GO:0009583,5
GO:0072710,0
GO:0009620,0
GO:0006301,42
GO:0050971,0
GO:1904045,47
GO:0009625,0
GO:0001080,0
GO:0051413,1
GO:0044752,2
GO:0009615,223
GO:0010157,0
GO:0071392,125
GO:0097306,0
GO:0071470,100
GO:0071495,0
GO:1905794,0
GO:0071225,34
GO:0045014,0
GO:0001582,0
GO:0098586,161
GO:0071363,193
GO:0002423,0
GO:0006979,419
GO:0072399,0
GO:0002558,0
GO:0033762,26
GO:1904044,18
GO:1901424,0
GO:0051776,0
GO:0000765,0
GO:1902521,0
GO:0006952,248
GO:1905092,0
GO:0010201,0
GO:0072744,0
GO:0002437,55
GO:0061857,0
GO:0071457,0
GO:0036271,0
GO:0072479,0
GO:0072735,0
GO:1902170,13
GO:0071367,0
GO:0072715,0
GO:0009647,0
GO:0075139,0
GO:0010350,0
GO:0071466,386
GO:0140404,0
GO:1903443,0
GO:0051594,0
GO:0071463,0
GO:0035994,84
GO:0071377,50
GO:0071393,88
GO:1990451,0
GO:1901322,0
GO:0034097,228
GO:0072754,0
GO:0001878,18
GO:1904405,0
GO:0035011,0
GO:1905795,19
GO:0097237,80
GO:0141115,0
GO:0071288,8
GO:0002384,0
GO:0002459,0
GO:0034599,283
GO:1905119,0
GO:0007584,441
GO:0141178,0
GO:0036368,2
GO:0052081,0
GO:0071350,0
GO:0048265,131
GO:0044320,37
GO:0009267,363
GO:0070672,5
GO:0035983,6
GO:0000196,0
GO:0042221,114
GO:0072759,0
GO:0002250,480
GO:1904628,26
GO:0097012,6
GO:0072711,96
GO:0006302,390
GO:0002251,0
GO:1905640,0
GO:1901562,0
GO:0048650,0
GO:0046688,45
GO:0097329,0
GO:0072730,0
GO:0034644,217
GO:0052170,0
GO:0009753,0
GO:0052162,0
GO:0016048,29
GO:0160144,0
GO:0097195,2
GO:0072761,0
GO:1904321,0
GO:0009314,31
GO:0070141,5
GO:0050980,0
GO:0010193,0
GO:0071223,26
GO:0071360,48
GO:0002000,0
GO:0071799,19
GO:1904391,0
GO:0002385,19
GO:0140415,0
GO:0071420,34
GO:1903442,4
GO:1990394,0
GO:0141141,0
GO:0036165,0
GO:0061848,0
GO:1905307,0
GO:0001981,0
GO:0035745,0
GO:0010335,0
GO:0014870,4
GO:0071871,10
GO:1901326,0
GO:0101027,0
GO:1905835,0
