GO Term,Number of Entries,GO Term Name,
0098754,294,Detoxification,
0032501,17117,Multicellular Organismal Process,
0051179,19611,Localization,
0051703,335,Biological Process,
0050896,21778,Response to Stimulus,
0043473,53,Pigmentation,
0065007,46500,Biological Regulation,
0040011,1299,Locomotion,
0022414,5238,Reproductive Process,
0016032,261,Viral Process,
0008152,26542,Metabolic Process,
0002376,5316,Immune System Process,
0050789,45171,Regulation of Biological Process,
0044848,0,Biological Phase,Old term
0000003,0,Reproduction,Old term
0048519,20830,Negative Regulation,
0042592,5650,Homeostatic Process,
0048511,835,Rhythmic Process,
0032502,22005,Developmental Process,
0009987,55193,Cellular Process,
0048518,24676,Positive Regulation,
0044419,3688,Biological Process,
0040007,2277,Growth,
