	split mig	split mig + inbreeding	split asym mig	split asym mig + inbreeding	split delay mig	split delay mig + inbreeding	im	im + inbreeding	im pre	im pre + inbreeding
Log likelihood	-1245.8500919528726	-1229.200614981747	-1218.9095498295926	-1196.5628328439625	-1218.9029304225153	-1196.564989246725	-1218.148932831644	-1192.967728514361	-1214.3178361936466	-1190.156499652644
Npre									47374.18027785773	35418.371810379154
Tpre (generations)					355.9617807254257	443.07459012896777			0.0	76603.32630937686
S1							15605.751745221736	16509.72231931889	15279.430751849086	17747.177975694638
S2							22367.12091965718	20572.819825088685	22070.597578329693	22675.719647953632
Nu1	16619.98639980089	18024.42562815848	15614.512843027132	16626.36132924248	15613.589884353241	16669.40554055458	15501.598896390138	16886.648268731085	14228.508751091416	17762.52577631097
Nu2	20489.906049272406	22442.029057214622	21712.55429741751	24339.70943606	21689.283060891892	24307.80277465653	21137.230750016464	27649.429115101084	19365.18656169212	28870.424282709053
T (generations)	13790.849965634156	16393.571171603875	14161.659007718305	17330.708974833986			14115.399089595918	17373.60971533201	15517.146692399388	17659.04517207464
Tmig (generations)					13802.573755618549	16917.670328612792				
Migration	1.3198009242426512e-05	1.543280437690722e-05								
M12			1.9066801652217864e-05	2.279222104464678e-05	1.9054808071958374e-05	2.26981265768854e-05	1.920015888301177e-05	2.2332718954838283e-05	2.0301079051452234e-05	2.2426009944035743e-05
M21			8.987150092014713e-06	1.0601196824678366e-05	9.036959361697324e-06	1.0699246821071455e-05	9.038247094276666e-06	1.0943148828362891e-05	9.849863496107786e-06	1.0864122814876617e-05
F1		0.14523370314252385		0.15213158561763487		0.15417945703647376		0.15641362651466711		0.17792786971449961
F2		0.15935909575723778		0.17597567793944685		0.1750317326108213		0.21389996983260387		0.22559382881593015
Misid	0.015645357286999655	0.017861297882723243	0.015955137874584108	0.018468335038962138	0.015909775540957082	0.018486779726662	0.015749059991758546	0.018397482552099904	0.017234202499873293	0.015497189372543803
Nref	37968.91648480617	37198.15180861958	37885.4884013748	37014.288956305	37898.09750739137	37005.40175786454	37972.872664878916	37082.54214440758	37350.02833017878	40422.89762364827
