	split mig	split mig + inbreeding	split asym mig	split asym mig + inbreeding	split delay mig	split delay mig + inbreeding	im	im + inbreeding	im pre	im pre + inbreeding
Log likelihood	-1282.7995734026442	-1153.559513516858	-1024.0274580245077	-821.660265335778	-1129.5400888044421	-821.6625984631125	-898.6818979323591	-770.6495246909583	-785.1251888090238	-748.2007897727276
Npre									109578.1324250418	115414.21355303169
Tpre (generations)					12395.410913621929	83.03246919074178			34912.54925548658	43201.544694811266
S1							13122.550768357374	9684.28890932781	5164.817877162666	2036.3023427922371
S2							17897.44525390764	21865.28700066956	25805.587264548725	28281.468903864617
Nu1	21773.974954049023	23613.115211142227	11750.081066113813	14583.679616591977	11240.820170471665	14590.711194684316	12125.852866380073	13742.167740537885	13843.080794192563	22646.981323904514
Nu2	186405.35066445798	181937.85973147087	189484.07304633348	196627.36651253534	306886.61660906253	196670.27979640718	389728.56047021155	670288.2687743424	445533.846486581	806926.6091329997
T (generations)	47270.62086951237	48729.61982110744	57674.37174091612	50299.74400793207			82059.81772091935	69334.48568934647	28029.14138940484	20733.455157956334
Tmig (generations)					31368.683775215653	50190.17090074635				
Migration	7.5527006072968045e-06	7.703968471818353e-06								
M12			2.6321464498872855e-05	2.147128557155732e-05	2.8183124839591838e-05	2.145860430119772e-05	2.4507390473100815e-05	2.4924963382051543e-05	1.4807659541345258e-05	1.4586946411819716e-05
M21			2.8815446621677564e-06	3.6616775855744056e-06	2.605644034721193e-06	3.6630562496291724e-06	4.192795393858772e-06	4.158434637610933e-06	2.851315257161881e-06	9.759706203062465e-07
F1		0.27920539793926735		0.24211261875936074		0.24250511466838223		0.249876721991425		0.27327079360325557
F2		1e-05		1e-05		1e-05		0.10858240729065531		0.0328187148864032
Misid	0.00932822154174693	0.010065199133087588	0.007124586951131436	0.011596930653068077	0.009099741891422554	0.01158561374479192	0.012729725931074494	0.012894728453492552	0.013300336995911377	0.013745773044522331
Nref	34848.06214429514	34124.5973842727	29194.034549045362	32915.692341197115	33381.23680407151	32929.85528314431	31019.99602226502	31549.57590999737	30970.40514171139	30317.771246656856
